IMDB_rating,IMDB_title,IMDB_titleID,IMDB_title_name
"8.7 based on 2,330 user ratings",Bill Hicks: Relentless,/title/tt0148668/, Bill Hicks: Relentless (1992) (Video) 
"8.6 based on 2,869 user ratings",Bill Hicks: Revelations,/title/tt0152183/, Bill Hicks: Revelations (1993) (TV Special) 
"8.4 based on 2,156 user ratings",Bill Hicks: Sane Man,/title/tt0287337/, Bill Hicks: Sane Man (1989) (Video) 
6.2 based on 61 user ratings,Gina Yashere: Skinny B*tch,/title/tt1722436/, Gina Yashere: Skinny B*tch (2008) (TV Special) 
7.3 based on 572 user ratings,Sam Kinison: Breaking the Rules,/title/tt0307403/, Sam Kinison: Breaking the Rules (1987) (TV Special) 
6.7 based on 231 user ratings,Sam Kinison: Family Entertainment Hour,/title/tt0249934/, The Sam Kinison Family Entertainment Hour (1991) (TV Special) 
6.0 based on 287 user ratings,Tim Allen: Men Are Pigs,/title/tt0259057/, Tim Allen: Men Are Pigs (1990) (TV Special) 
5.8 based on 153 user ratings,Tim Allen: ReWires America,/title/tt0294967/, Tim Allen Rewires America (1991) (TV Special) 
8.5 based on 298 user ratings,Tim Minchin And The Heritage Orchestra Live,/title/tt3709746/, Tim Minchin and the Heritage Orchestra (2011) (Video) 
8.1 based on 205 user ratings,Tim Minchin: So F**king Rock,/title/tt5286440/, Tim Minchin So F**king Rock (2008) (Video) 
6.2 based on 136 user ratings,Todd Glass: Stand-Up Special,/title/tt2803424/," Todd Glass: Talks About Stuff (2012) aka ""Todd Glass: Stand-Up Special"" "
7.2 based on 403 user ratings,Tom Papa Live in New York City,/title/tt1910649/, Tom Papa: Live in New York City (2011) (TV Special) 
Not Found,Dave Chappelle: Equanimity & The Bird Revelation,Not Found,Not Found
6.1 based on 705 user ratings,Tiffany Haddish: Black Mitzvah,/title/tt8882390/, Tiffany Haddish: Black Mitzvah (2019) (TV Special) 
6.8 based on 727 user ratings,Todd Barry: Spicy Honey,/title/tt6856186/, Todd Barry: Spicy Honey (2017) (TV Special) 
5.8 based on 322 user ratings,Stand Up and Away! with Brian Regan,/title/tt9384194/, Standup and Away! with Brian Regan (2018) (TV Series) 
7.4 based on 766 user ratings,Garfunkel and Oates: Trying to be Special,/title/tt5602318/, Garfunkel and Oates: Trying to Be Special (2016) (TV Special) 
"7.5 based on 2,151 user ratings",Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,/title/tt6302122/, Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry (2016) (TV Special) 
"7.4 based on 1,258 user ratings",Russell Howard: Recalibrate,/title/tt7736664/, Russell Howard: Recalibrate (2017) (TV Special) 
"6.5 based on 4,276 user ratings",Ellen DeGeneres: Relatable,/title/tt7157574/, Ellen DeGeneres: Relatable (2018) (TV Special) 
4.4 based on 224 user ratings,Mike Epps: Don't Take It Personal,/title/tt5339586/, Mike Epps: Don't Take It Personal (2015) 
"7.4 based on 2,144 user ratings",Ronny Chieng: Asian Comedian Destroys America!,/title/tt11248800/, Ronny Chieng: Asian Comedian Destroys America (2019) (TV Special) 
5.9 based on 621 user ratings,Jack Whitehall: Christmas with My Father,/title/tt11313076/, Jack Whitehall: Christmas with My Father (2019) (TV Special) 
"6.2 based on 1,188 user ratings",Judd Apatow: The Return,/title/tt7738550/, Judd Apatow: The Return (2017) (TV Special) 
"7.2 based on 1,186 user ratings",Michelle Wolf: Joke Show,/title/tt11269704/, Michelle Wolf: Joke Show (2019) (TV Special) 
"5.5 based on 1,624 user ratings",Martin Lawrence Live: Runteldat,/title/tt0327036/, Martin Lawrence Live: Runteldat (2002) 
"8.2 based on 4,430 user ratings",Richard Pryor: Live in Concert,/title/tt0079807/, Richard Pryor: Live in Concert (1979) 
"7.4 based on 2,439 user ratings",Denis Leary: No Cure For Cancer,/title/tt0248752/, Denis Leary: No Cure for Cancer (1993) (TV Special) 
5.7 based on 690 user ratings,Theo Von: No Offense,/title/tt5066564/, Theo Von: No Offense (2016) (TV Special) 
6.5 based on 603 user ratings,I'm Brent Morin,/title/tt5280664/, Brent Morin: I'm Brent Morin (2015) (TV Special) 
Not Found,Jim Jefferies : BARE,/name/nm1812944/," Jim Jefferies (Writer, Legit (2013))"
7.4 based on 842 user ratings,Sebastian Maniscalco: Why Would You Do That,/title/tt6295304/, Sebastian Maniscalco: Why Would You Do That? (2016) (TV Special) 
"6.5 based on 1,502 user ratings",David Cross: Making America Great Again!,/title/tt5943936/, David Cross: Making America Great Again (2016) (TV Special) 
7.3 based on 771 user ratings,Ryan Hamilton: Happy Face,/title/tt6892378/, Ryan Hamilton: Happy Face (2017) (TV Special) 
"8.5 based on 20,973 user ratings",Dave Chappelle: Sticks & Stones,/title/tt10810424/, Dave Chappelle: Sticks & Stones (2019) (TV Special) 
5.6 based on 555 user ratings,Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...,/title/tt5571712/, Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking (2016) (TV Special) 
6.9 based on 486 user ratings,Maria Bamford: The Special Special Special,/title/tt2546038/, Maria Bamford: The Special Special Special! (2012) (TV Special) 
6.2 based on 353 user ratings,Lynne Koplitz: Hormonal Beast,/title/tt6892388/, Lynne Koplitz: Hormonal Beast (2017) (TV Special) 
